epoch,test_data,generated_summary
1,"London's Metropolitan Police say the man was arrested at Luton airport after landing on a flight from Istanbul .
He's been charged with terror offenses allegedly committed since the start of November .","A 19-year-old man was charged with terror offenses after he was arrested at Luton airport upon his return to Britain from Turkey. Yahya Rashid, a UK national from northwest London, was charged with engaging in conduct in preparation of acts of terrorism, and with engaging in conduct with the intention of assisting others to commit acts of terrorism. Rashid is due to appear in Westminster Magistrates' Court on Wednesday."
1,"""Furious 7"" pays tribute to star Paul Walker, who died during filming .
Vin Diesel: ""This movie is more than a movie""
""Furious 7"" opens Friday .","""Actor Paul Walker died in a car crash in November 2013 at the age of 40. The release of ""Furious 7"" on Friday offers the opportunity for fans to remember -- and possibly grieve again -- the man that so many have praised as one of the nicest guys in Hollywood. ""He was a person of humility, integrity, and compassion,"" military veteran Kyle Upham said in an email to CNN. Walker secretly paid for the engagement ring Upham shopped for with his bride. The actor was on break from filming ""Furious 7"" at the time of the fiery accident, which also claimed the life of the car's driver, Roger Rodas. Producers said early on that they would not kill off Walker's character, Brian O'Connor, a former cop turned road racer. Instead, the script was rewritten and special effects were used to finish scenes, with Walker's brothers, Cody and Caleb, serving as body doubles. There are scenes that will resonate with the audience -- including the ending, in which the filmmakers figured out a touching way to pay tribute to Walker while ""retiring"" his character. At the premiere Wednesday night in Hollywood, Walker's co-star and close friend Vin Diesel gave a tearful speech before the screening, saying ""This movie is more than a movie."" ""You'll feel it when you see it,"" Diesel said. ""There's something emotional that happens to you, where you walk out of this movie and you appreciate everyone you love because you just never know when the last day is you're gonna see them.""..."""
1,"Museum: Anne Frank died earlier than previously believed .
Researchers re-examined archives and testimonies of survivors .
Anne and older sister Margot Frank are believed to have died in February 1945 .","Seventy years ago, Anne Frank died of typhus in a Nazi concentration camp at the age of 15. Just two weeks after her supposed death on March 31, 1945, the Bergen-Belsen concentration camp where she had been imprisoned was liberated -- timing that showed how close the Jewish diarist had been to surviving the Holocaust. But new research released by the Anne Frank House shows that Anne and her older sister, Margot Frank, died at least a month earlier than previously thought. Researchers re-examined archives of the Red Cross, the International Training Service and the Bergen-Belsen Memorial, along with testimonies of survivors. They concluded that Anne and Margot probably did not survive to March 1945 -- contradicting the date of death which had previously been determined by Dutch authorities. In 1944, Anne and seven others hiding in the Amsterdam secret annex were arrested and sent to the Auschwitz-Birkenau concentration camp. Anne Frank's final entry. That same year, Anne and Margot were separated from their mother and sent away to work as slave labor at the Bergen-Belsen camp in Germany. Days at the camp were filled with terror and dread, witnesses said. The sisters stayed in a section of the overcrowded camp with no lighting, little water and no latrine. They slept on lice-ridden straw and violent storms shredded the tents, according to the researchers. Like the other prisoners, the sisters endured long hours at roll call. Her classmate, Nannette Blitz, recalled seeing Anne there in December 1944: ""She was no more than a skeleton by then. She was wrapped in a blanket; she couldn't bear to wear her clothes anymore because they were crawling with lice."" Listen to Anne Frank's friends describe her concentration camp experience. As the Russians advanced further, the Bergen-Belsen concentration camp became even more crowded, bringing more disease. A deadly typhus outbreak caused thousands to die each day. Typh"
1,"LZ: Indiana law pushing back LGBT rights, and other states' anti-LGBT moves, bow to far right wing that GOP candidates need for 2016 .
Cruz, Huckabee, Jindal, Carson, Walker are reviving culture wars, he says.  Equality for LGBT has not yet ""won"" in America .","Pence: 'Was I expecting this kind of backlash? Heavens no.' For there is no way a Republican can get through the primary without denouncing LGBT rights, which unfortunately will turn numerous Americans into single-issue voters. I foolishly hoped the issue of LGBT rights would be a bit player in the 2016 general election, overshadowed by foreign policy and the economy. Instead it looks like it's going to be dragged down to a replay of Pat Buchanan's ""cultural war"" speech..."""
1,"Singing the national anthem is a risky proposition .
Whitney Houston nailed it; Roseanne Barr destroyed it .","""Mötley Crüe's Vince Neil, Whitney Houston, Roseanne Barr, Jimi Hendrix, and Michael Bolton have all performed the national anthem, with varying degrees of success."""
1,"While Republican Gov. Asa Hutchinson was weighing an Arkansas religious freedom bill, Walmart voiced its opposition .
Walmart and other high-profile businesses are showing their support for gay and lesbian rights .
Their stance puts them in conflict with socially conservative Republicans, traditionally seen as allies .","Walmart's opposition to a religious freedom law in its home state of Arkansas came after the company said in February it would boost pay for about 500,000 workers well above the federal minimum wage. Taken together, the company is emerging as a bellwether for shifting public opinion on hot-button political issues that divide conservatives and liberals. And some prominent Republicans are urging the party to take notice. Former Minnesota Gov. Tim Pawlenty, who famously called on the GOP to ""be the party of Sam's Club, not just the country club,"" told CNN that Walmart's actions ""foreshadow where the Republican Party will need to move."" ""The Republican Party will have to better stand for"" ideas on helping the middle class, said Pawlenty, the head of the Financial Services Roundtable, a Washington lobbying group for the finance industry. The party's leaders must be ""willing to put forward ideas that will help modest income workers, such as a reasonable increase in the minimum wage, and prohibit discrimination in things such as jobs, housing, public accommodation against gays and lesbians."" Walmart, which employs more than 50,000 people in Arkansas, emerged victorious on Wednesday. Hours after the company's CEO, Doug McMillon, called on Republican Gov. Asa Hutchinson to veto the bill, the governor held a news conference and announced he would not sign the legislation unless its language was fixed. Walmart's opposition to the religious freedom law once again puts the company at odds with many in the Republican Party, which the company's political action committee has tended to support. In 2004, the Walmart PAC gave around $2 million to Republicans versus less than $500,000 to Democrats, according to data from the Center for Responsive Politics. That gap has grown less pronounced in recent years. In 2014, the PAC spent about $1.3 million to support Republicans and around $970,000 for Democrats. It has been a gradual transformation for Walmart. In 2011,"
1,"Amnesty International releases its annual review of the death penalty worldwide; much of it makes for grim reading .
Salil Shetty: Countries that use executions to deal with problems are on the wrong side of history .","On May 28, 2014, some 7,000 people gathered in a stadium in China's northwestern Xinjiang region. But they had not come to watch the local football team or any other grand sporting event. Instead, the authorities paraded scores of prisoners dressed in orange jumpsuits. Armed soldiers guarded the exits. In the patently unfair, open air trial that followed, 55 people were found guilty of a range of offenses linked to violent attacks in the region and jailed. Three were sentenced to death. The public mass sentencing was part a China's ""Strike Hard"" campaign against unrest in Xinjiang, a campaign the government claims was launched to combat ""terrorism"" and ""separatism."" But it was also indicative of a trend that was starkly evident last year around the world -- governments using the death penalty in a misguided, and often cynical, attempt to tackle crime and terrorism."""
1,"Marseille prosecutor says ""so far no videos were used in the crash investigation"" despite media reports .
Journalists at Bild and Paris Match are ""very confident"" the video clip is real, an editor says .
Andreas Lubitz had informed his Lufthansa training school of an episode of severe depression, airline says .","Marseille, France (CNN)The French prosecutor leading an investigation into the crash of Germanwings Flight 9525 insisted Wednesday that he was not aware of any video footage from on board the plane. Marseille prosecutor Brice Robin told CNN that ""so far no videos were used in the crash investigation."" He added, ""A person who has such a video needs to immediately give it to the investigators."" Robin's comments follow claims by two magazines, German daily Bild and French Paris Match, of a cell phone video showing the harrowing final seconds from on board Germanwings Flight 9525 as it crashed into the French Alps. All 150 on board were killed. Paris Match and Bild reported that the video was recovered from a phone at the wreckage site. The two publications described the supposed video, but did not post it on their websites. The publications said that they watched the video, which was found by a source close to the investigation. ""One can hear cries of 'My God' in several languages,"" Paris Match reported. ""Metallic banging can also be heard more than three times, perhaps of the pilot trying to open the co-pilot's cockpit door with a heavy object.  Towards the end, after a heavy shake, stronger than the others, the screaming intensifies. Then nothing."" ""It is a very disturbing scene,"" said Julian Reichelt, editor-in-chief of Bild online. An official with France's accident investigation agency, the BEA, said the agency is not aware of any such video. Lt. Col. Jean-Marc Menichini, a French Gendarmerie spokesman in charge of communications on rescue efforts around the Germanwings crash site, told CNN that the reports were ""completely wrong"" and ""unwarranted."" Cell phones have been collected at the site, he said, but that they ""hadn't been exploited yet."" Menichini said he believed the cell phones would need to be sent to the Criminal Research Institute in"
1,"The Rev. Robert Schuller, 88, had been diagnosed with esophageal cancer in 2013 .
His TV show, ""Hour of Power,"" was enormously popular in the 1970s and 1980s .","Text: (CNN)The Rev. Robert H. Schuller, California televangelist and founder of the television ministry ""Hour of Power,"" died Thursday, according to his family. He was 88 years old. Schuller, also the founder of Crystal Cathedral megachurch, had been diagnosed with esophageal cancer in August 2013, a release from ""Hour of Power"" said. ""My father-in-law passed away peacefully early this morning. He was a great Dad and a great man of God,"" said Schuller's daughter-in-law, Donna Schuller, in a Twitter message. Schuller's life followed an almost Shakespearean arc. He was born in a Iowa farmhouse without running water and longed to preach from his earliest days. In his autobiography, ""Prayer: My Soul's Adventure with God,"" he described standing alone by a river and picturing himself delivering sermons to a rapt congregation. After attending a Hope College and Western Theological Seminary in Michigan, he met his wife of more than 60 years, Arvella, while preaching at her church (she was the organist). With their young family in tow, the Schullers caravanned west to California, where he rented a drive-in theater and preached from the roof of the snack bar. It was beneath the dignity of Christian ministry, some local pastors huffed. The ""passion pits"" where teenagers necked was no place for the gospel. Schuller was undeterred, and he quickly outgrew the drive-in. He called the explosive growth of his tiny congregation a ""miracle,"" though his many mainstream critics had other names for it. His confident, breezy version of Christianity -- too breezy, by some estimations -- drew hordes of seekers and lapsed Christians who were put off by the hellfire fulminations of many post-War American preachers. Schuller sold a softer, gentler"
1,"Former GOP representative compares President Obama to Andreas Lubitz .
Bachmann said with possible Iran deal, Obama will fly ""entire nation into the rocks""
Reaction on social media? She was blasted by Facebook commenters .","Michele Bachmann is comparing President Obama to the co-pilot of the doomed Germanwings flight. ""With his Iran deal, Barack Obama is for the 300 million souls of the United States what Andreas Lubitz was for the 150 souls on the German Wings flight - a deranged pilot flying his entire nation into the rocks,"" the Minnesota Republican and former representative wrote in a Facebook comment posted March 31. ""After the fact, among the smoldering remains of American cities, the shocked survivors will ask, why did he do it?"" Andreas Lubitz, the co-pilot of Germanwings Flight 9525, is accused by authorities of deliberately crashing the plane in the French Alps. He died in the crash along with 149 other crew and passengers. The motive of the March 24 crash is under investigation, though investigators are looking in to whether Lubitz feared a medical condition would cause him to lose his pilot's license. Many comments posted on her Facebook page blasted the former representative. Melissa Coca wrote, ""Comparing this tragedy to anything is moronic and despicable."" Michael J Pristash wrote, ""Your allusion is so inappropriate and divisive, not to mention disrespectful on so many levels. Shame on you."" Some also accused her of taking desperate measures to stay in the public eye. Lynda Anderson wrote, ""Posting outrageous things in a pathetic attempt to stay relevant?"" Negotiations are coming down to the wire between Iran, the United States and other nations on restricting Tehran's nuclear program to prevent the ability to develop an atomic bomb. One deadline passed Tuesday, but there is a June 30 deadline for a comprehensive deal -- with all technical and diplomatic impasses fully worked out. Bachmann is no stranger to voicing her opinion on the President's dealing with Iran, personally telling him to ""bomb Iran"" during the 2014 White House Christmas Party. ""I turned to the president and I said, something to the effect of, 'Mr. President"
1,"Father: ""I know he went through what he went through""
Louis Jordan was found on his sailboat, which was listing and in bad shape, rescuer says .
He appears to be in good shape, physically and mentally .","""Rescued sailor Louis Jordan, 37, had been drifting on his 35-foot sailboat for 66 days after a storm capsized his boat and broke his shoulder. He survived by collecting rainwater and catching fish attracted to his laundry. Jordan was found by the crew of the 1,000-foot long container ship Houston Express, who were surprised by his surprisingly good condition."""
1,"Richard Klass: Iran framework agreement on nukes is strong, but opponents will cast doubts on this and try to obscure its facts .
He says the deal would cut uranium stockpile, centrifuges, implement rigorous inspections; it should be judged on merits, not disinformation .","(CNN)The United States and its negotiating partners reached a very strong framework agreement with Iran in Lausanne, Switzerland, on Thursday that limits Iran's nuclear program in such a way as to effectively block it from building a nuclear weapon. Expect pushback anyway, if the recent past is any harbinger. Just last month, in an attempt to head off such an agreement, House Speaker John Boehner invited Israeli Prime Minister Benjamin Netanyahu to preemptively blast it before Congress, and 47 senators sent a letter to the Iranian leadership warning them away from a deal. The debate that has already begun since the announcement of the new framework will likely result in more heat than light. It will not be helped by the gathering swirl of dubious assumptions and doubtful assertions. Let us address some of these:. The most misleading assertion, despite universal rejection by experts, is that the negotiations' objective at the outset was the total elimination of any nuclear program in Iran. That is the position of Netanyahu and his acolytes in the U.S. Congress. But that is not and never was the objective. If it had been, there would have been no Iranian team at the negotiating table. Rather, the objective has always been to structure an agreement or series of agreements so that Iran could not covertly develop a nuclear arsenal before the United States and its allies could respond. The new framework has exceeded expectations in achieving that goal. It would reduce Iran's low-enriched uranium stockpile, cut by two-thirds its number of installed centrifuges and implement a rigorous inspection regime. Another dubious assumption of opponents is that the Iranian nuclear program is a covert weapons program. Despite sharp accusations by some in the United States and its allies, Iran denies having such a program, and U.S. intelligence contends that Iran has not yet made the decision to build a nuclear weapon. Iran's continued cooperation with International Atomic Energy Agency inspections is further evidence on this point, and we'll know even more about Iran's program in the coming months and"
1,"Americans paid more for some fruits and vegetables last year because of the drought .
Tourists will now have to ask for a glass of water at a California restaurant .
Perhaps the only good thing is another ""great"" wine grape harvest last year .","California drought hurts the rest of the union, too. California is a breadbasket to the nation, growing more than a third of its vegetables and nearly two-thirds of its fruits and nuts. The drought has prompted Gov. Jerry Brown to announce a mandatory 25% cutback in water consumption in all cities. Fresh fruit prices are projected to rise between 2.5% and 3.5%, and vegetables between 2% and 2%, close to historical average increases. Economists don't know yet whether farmers will plant fewer crops because of the drought, which could boost supermarket prices. The drought affects more than 52 million people, and consumers paid a whopping extra 12.1% for beef and veal in 2014. Beef prices offer an object lesson about the drought, with prices expected to rise only by 6% at most, still higher than the 4.1% historical average."""
1,"The FBI cites social media messages sent by Keonna Thomas, 30 .
She's accused of trying to travel overseas to join ISIS .
Thomas is one of three women facing federal terror charges this week .","(CNN)The FBI charged a Philadelphia woman on Thursday with trying to travel overseas to fight for ISIS. She's one of three women arrested this week on terror charges. Two New York women were also taken into custody. An FBI complaint cites numerous social media messages dating back to August 2013 that were sent by Keonna Thomas, 30, also known as ""Young Lioness"" and ""Fatayat Al Khilafah."" One Twitter message said, ""If we truly knew the realities... we all would be rushing to join our brothers in the front lines pray ALLAH accept us as shuhada [martyrs]."" Another said, ""When you're a mujahid [violent jihadi fighter] your death becomes a wedding."" The FBI said Thomas purchased an electronic visa to Turkey on March 23. Turkey is known as the easiest place from which to enter Syria and join ISIS. An ISIS manual advises recruits to buy round-trip tickets to vacation spots such as Spain and then purchase tickets for their real destination once they arrive overseas, the FBI said. On March 26, Thomas purchased a ticket to Barcelona, with a March 29 departure and an April 15 return to the United States, the complaint said. It's not clear when or where she was arrested. She was charged with knowingly attempting to provide material support and resources to a designated foreign terrorist organization. She could be sentenced to 15 years in prison. On Thursday, Noelle Velentzas, 28, and her former roommate, Asia Siddiqui, 31, were arrested in New York and accused of planning to build an explosive device for attacks in the United States, federal prosecutors said. In the past 18 months, the Justice Department's National Security Division has prosecuted or is prosecuting more than 30 cases of people attempting to travel abroad to join or provide support to terrorist groups. Of those cases, 18 allegedly involve support to ISIS."""
1,"Iranian sports official: The ban will be lifted for some events in the coming year .
But he says ""families are not interested in attending"" some sports matches .","Iranian Deputy Sports Minister Abdolhamid Ahmadi said the ban on women attending men's sports events will be lifted for indoor sports events in the next year. The restrictions won't change for all matches because some sports are mainly related to men and ""families are not interested in attending"" them. Iranian authorities imposed the ban on women attending men's sports events after the Islamic Revolution in 1979, deeming that mixed crowds watching games together was un-Islamic. Iranian women were briefly permitted to attend volleyball matches under the moderate President Mohammad Khatami, but the ban was reinstated in 2005 after the more hard-line Mahmoud Ahmadinejad came to power. FIFA President Sepp Blatter called on Iran to end its ""intolerable"" ban on women attending soccer matches, saying the situation ""cannot continue."" Iran had been in the running to host the 2019 edition of soccer's Asian Cup, but the tournament was awarded to the United Arab Emirates. The ban on women attending matches was widely seen as a major impediment to Iran's chances of securing the event."
1,"Going online has become the path of least resistance if you want to make yourself heard .
But where there is the restrictive rule of law, journalists are vulnerable to the anger of officialdom .
From China to Malaysia, journalists and bloggers have been jailed -- even killed .","""Jailing journalists is one thing, but watching them being killed and doing little or nothing about it is another. Since 1992, 11% of journalists killed have died for their work online. Blogger death toll gets higher in Bangladesh if you go back a year or two, and religious beliefs are always involved, and the killings almost always carried out with near perfect impunity."""
1,"The singer had been off the scene for a while .
She says she was bedridden for months .
Lavigne was sometimes too weak to shower .","""Singer Avril Lavigne reveals she was bedridden for 5 months after contracting Lyme disease, which she believes was caused by a tick bite."""
1,"Here are six of CNN's best videos of the week .
Clips include a look at Mike Tyson's abandoned mansion .","""Videos of former heavyweight boxer Mike Tyson's abandoned mansion, the Fury 325 roller coaster, a dramatic interview with Bikram yoga creator Bikram Choudhury, a shepherd's account of the Germanwings Flight 9525 crash, a panel discussion on the Indiana religious freedom law, and a study on facial attractiveness."""
1,"Netanyahu says third option is ""standing firm"" to get a better deal .
Political sparring continues in U.S. over the deal with Iran .","Israeli Prime Minister Benjamin Netanyahu criticized the deal six world powers struck to thwart Iran's nuclear ambitions, saying he sees better options than ""this bad deal or war."" ""I think there's a third alternative, and that is standing firm, ratcheting up the pressure until you get a better deal,"" Netanyahu told CNN's Jim Acosta Sunday on ""State of the Union."" His comments come as Democrats and Republicans spar over the framework announced last week to lift Western sanctions on Iran in exchange for the country dropping from 19,000 to 5,060 active centrifuges, limiting its highly enriched uranium, and increasing inspections. President Barack Obama endorsed the deal, saying it was better than the alternatives. But GOP contenders for the party's 2016 presidential nomination lambasted it, saying it gave Iran too much flexibility."""
1,"Indiana town's Memories Pizza is shut down after online threat .
Its owners say they'd refuse to cater a same-sex couple's wedding .","""Indiana family-run restaurant finds itself at the center of the debate over the state's Religious Freedom Restoration Act after its owners said they'd refuse to cater a same-sex couple's wedding. The statement struck at the heart of fears by critics, who said the new law would allow businesses to discriminate against gays and lesbians."""
1,"Authorities in the Indian city of Malegaon have asked residents to take a 'mugshot' of their cattle .
Cows are revered by the majority Hindu population, and many parts of the country have laws banning the slaughter of cattle .
Officials in Malegaon believe this is the best way to solve cow slaughter cases and enforce the law .","Police in the Indian city of Malegaon, in the western state of Maharashtra, are requiring identity cards for an unusual group of residents: Cattle. Following a recent state-wide ban on the sale and consumption of beef, authorities in the city have asked residents to take a'mugshot' of their cattle and submit it to the police. Along with the photograph, the residents have to give information about their animal's 'unique features,' such as the coloring and age of the cow, along with the length of its tail and other distinctive characteristics. Police officials believe this is the only way to solve cow slaughter cases and enforce the law. Cows are considered holy and revered by that state's majority Hindu population. ""We are creating a database. If we get an information of a cow slaughter, we can quickly go to the resident's place and check whether it is there or not"", Mahesh Sawai, Deputy Superintendent of Malegaon Police told CNN. ""I believe this will be very effective"" So far over 100 owners have complied with the police order and more are lining up outside police stations across the city to get their livestock photographed. The ruling came in the wake of a recent case of cow slaughter in Malegaon, where two men have been charged for killing the animal and and selling its meat. The Maharashtra Animal Preservation Bill now includes bans on the killing of bulls and bullocks in its list of non-bailable offenses. Even the consumption or sale of beef could now land you in prison for five years. The slaughter of buffaloes, however, is still permissible. However, beef traders in the country strongly reacted to the decision and called a month-long strike, which ended Wednesday. The traders refused to even slaughter buffaloes and deprive the state of all bovine meat. They have now vowed to file a case in the state's high court. Red meat lovers weren't too delighted either, arguing the government doesn't have a right to interfere in an"
1,"A South Carolina man says he spent 66 days alone at sea before being rescued .
Other sole survivor stories include a Japanese man washed away by a tsunami .
An El Salvador man says he drifted from Mexico to Marshall Islands over a year .","""Miracles do happen, though, and not just in Hollywood. We're not talking about people who float aimlessly or run aground after running out of gas or being let down by faltering winds only to be picked up a few hours later by the U.S. Coast Guard. Much rarer are cases in which individuals become lost at sea long enough that they run out of whatever food and drinking water they'd brought aboard, if any. In order to survive, they can't bank on technology or the proximity of a nearby city, town or boat -- but instead must rely on ingenuity, resourcefulness and luck."""
1,"The Large Hadron Collider (LHC) begins again after a two-year shutdown .
The restart was delayed in March .","The world's biggest and most powerful physics experiment is taking place as you read this. The Large Hadron Collider (LHC), a particle accelerator and the largest machine in the world, is ready for action following a two-year shutdown. After problems that delayed the restart in March, scientists at the European Organization for Nuclear Research (CERN) completed final tests, enabling the first beams to start circulating Sunday inside the LHC's 17 mile (27 km) ring. ""Operating accelerators for the benefit of the physics community is what CERN's here for,"" CERN Director-General Rolf Heuer said on the organization's website. ""Today, CERN's heart beats once more to the rhythm of the LHC."" The LHC generates up to 600 million particles per second, with a beam circulating for 10 hours, traveling more than 6 billion miles (more than 10 billion kilometers) -- the distance from Earth to Neptune and back again. At near light-speed, a proton in the LHC makes 11,245 circuits per second. It took thousands of scientists, engineers and technicians decades to devise and build the particle accelerator, housed in a tunnel between Lake Geneva and the Jura mountain range. The purpose of the lengthy project is to recreate the conditions that existed moments after the ""Big Bang"" -- the scientific theory said to explain the creation of the universe. By replicating the energy density and temperature, scientists hope to uncover how the universe evolved. Our current, limited, knowledge is based on what's called The Standard Model of particle physics.  ""But we know that this model is not complete,"" Dr. Mike Lamont, operations group leader at the LHC, told CNN in March. The burning questions that remain include the origin of mass and why some particles are very heavy, while others have no mass at all; a unified description of all the fundamental forces such as gravity; and uncovering dark matter and dark energy, since visible matter accounts for only"
1,"FBI agents and a suspected serial robber exchange gunfire in an FBI stakeout .
Two FBI agents are injured and the suspect is shot during the gunfight .","""Rover scheduled to land at 5:31AM (GMT) on Monday morning.
    Scientists say they are 'cautiously optimistic'
    Times Square will show Nasa coverage, while Google will webcast it.
    Mission will search for signs of life on the red planet's surface using a scoop to dig into the soil.
    ""Rover scheduled to land at 5:31AM (GMT) on Monday morning.
    Scientists say they are 'cautiously optimistic'
    Times Square will show Nasa coverage, while Google will webcast it.
    Mission will search for signs of life on the red planet's surface using a scoop to dig into the soil."""
